term,course_subject,course_number,course_name,course_section,prof_name,total_enrollment,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,d_plus,d,f,w,inc,avg_gpa
Spring 2025,ACCT,100,Fin & Mgr Acct,1,"HO, V",10,0,4,1,2,0,0,1,2,0,0,0,0,0,0,3.26
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,4,"DAUBER, N",40,2,11,8,4,4,2,0,1,0,0,1,0,7,0,3.491
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,6,"RUTHIZER, S",34,1,6,4,4,10,1,3,2,0,0,0,0,3,0,3.213
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,3,"DAUBER, N",40,1,5,7,4,5,7,2,4,2,0,0,1,2,0,2.974
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,13,"FITZSIMONS, S",21,0,2,1,0,9,4,0,0,2,0,0,0,1,2,2.939
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,11,"XIAO, J",32,0,5,3,4,1,1,1,0,0,0,2,6,9,0,2.361
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,12,"CALAMARI, J",40,1,1,1,2,4,7,4,3,8,1,5,0,3,0,2.278
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,7,"ROSANO, E",40,0,2,3,2,6,3,2,7,3,4,4,3,1,0,2.172
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,5,"HUANG, Q",40,0,2,5,3,6,2,2,5,0,0,8,5,2,0,2.168
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,2,"COWAN DOCKERY, M",40,2,4,2,1,0,4,3,9,0,0,0,12,3,0,1.903
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,9,"FEISULLIN, A",40,3,0,0,2,2,2,4,1,5,3,2,9,7,0,1.685
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,8,"SUH, J",40,1,3,0,1,2,1,2,3,4,3,2,14,4,0,1.425
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,5,"RUTHIZER, S",35,0,7,3,2,8,7,2,3,0,0,0,0,3,0,3.1
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,7,"SUN, F",45,0,9,9,8,4,2,2,5,0,0,2,3,1,0,2.948
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,6,"YAN, Y",45,0,11,4,6,4,4,6,2,1,0,6,1,0,0,2.82
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,2,"COWAN DOCKERY, M",14,0,0,1,1,1,0,1,4,0,0,0,0,6,0,2.538
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,3,"DAVID, A",45,6,3,4,0,6,3,1,5,2,0,2,8,5,0,2.365
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,8,"SUH, J",45,2,3,3,1,2,2,3,3,2,3,0,17,4,0,1.61
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,4,"DAVID, A",45,0,1,1,4,2,1,4,6,3,2,2,13,6,0,1.551
Spring 2025,ACCT,201,Intermediate Accounting l,2,"KUMAR, V",50,0,21,0,0,10,0,0,10,0,0,0,0,9,0,3.268
Spring 2025,ACCT,201,Intermediate Accounting l,3,"FITZSIMONS, S",44,0,6,2,6,15,6,4,1,0,0,0,0,4,0,3.09
Spring 2025,ACCT,201,Intermediate Accounting l,1,"SUN, T",51,5,11,0,5,8,0,6,3,0,0,5,4,4,0,2.751
Spring 2025,ACCT,202,Intermediate Accounting II,1,"BARONE, E",40,3,6,5,3,8,2,5,4,0,0,1,0,2,1,3.089
